L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
1	KRZYSZTOF SAS-NOWOSIELSKI	AZS AWF KATOWICE/EVOLV	t	t	t	t	t	t	t	t	t	t	t	t	b	b	t					b	Weteran	M	13	16
2	JACEK JASTRZĘBSKI	CW AVATAR	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Weteran	M	11	15
3	ZENEK ZIOŁKO	KW JASTRZĘBIE	t	t	t	t	t	t	t	t	t	t	t	b		b	b						Weteran	M	11	14
4	MAREK BETLEJA		t	t	t	t	t	t	t	t	t	t	t	b		b	b						Weteran	M	11	14
5	PIOTR ZGADZAJ	SKW GLIWICE	t	t	t	t	t	t	t	t	t	t	t	b			b						Weteran	M	11	13
6	PIOTR ĆWIĄKAŁA	KW JASTRZĘBIE	t	t	t	t	t	t	t	t	t	t	t	b									Weteran	M	11	12
7	WOJCIECH JUREK	KW CZĘSTOCHOWA	t	t	t	t	t	t	t	b	t	t	t	b		b	b						Weteran	M	10	14
8	MIROSŁAW GARBAS		t	t	t	t	t	t	t	t	t	b	t										Weteran	M	10	11
9	MACIEK BOGUCKI	KW GLIWICE	t	t	t	t	t	t	t		t	t	t										Weteran	M	10	10
10	GRZEGORZ GALWAS		t	t	t	t	t	t	t	b	b	t	t	b	b	b	b						Weteran	M	9	15
11	KRZYSZTOF BIAŁOŻYT	CW TRANSFORMATOR	t	t	t	t	t	t	t	b	t	b	t										Weteran	M	9	11
12	OLGA RUSIN	KW GLIWICE	t	t	t	t	t	t	b		t	b	t										Weteran	K	8	10
13	DAREK BOGUSŁOWICZ		t	t	t	t	t	t	t			b	t										Weteran	M	8	9
14	HANNA PIĄTKOWSKA		t	t	t	t	b	t	b	b	t		b										Weteran	K	6	10
15	PIOTR GOLAŃSKI	REDPOINT.PL	t	t	t	t	t	t	b				b										Weteran	M	6	8
16	MAREK MACIĄŻEK	CW TRANSFORMATOR	t	t	t	t	t	t	b				b										Weteran	M	6	8
17	MICHAŁ SZKLARSKI							t	t	t	t	t	t	t	b	t	b						Trudna	M	8	10
18	IDA KUPŚ	KS KORONA, SCARPA, HEART BEAT, DARE2B						t	t	t	t	t	t	t		b	t						Trudna	K	8	9
19	RADOSŁAW KIELAR	BEŁCHATOWSKI KLUB WYSOKOGÓRSKI	t	t	t	t	t	t	t	t	t	t	t	t	b	b	b						Trudna	M	7	10
20	ADAM ROŻEK	KW JASTRZĘBIE	t	t	t	t	t	t	t	t	t	t	t	b	b	t	b						Trudna	M	7	10
21	TOMASZ KŁOSEK	CW TRANSFORMATOR	t	t	t	t	t	t	t	t	t	t	t	t	b	b	b						Trudna	M	7	10
22	KAMIL GÓRAL	POZIOM450	t	t	t	t	t	t	t	t	t	t	t	t									Trudna	M	7	7
23	JACEK CZECH	W SKALE KS KANDAHAR	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
24	LEONIA ZAJĄC	CW PRIMAROCA						t	t	t	t	t	t	b	b	b	b						Trudna	K	6	10
25	MICHAŁ HAJDUCZEK	CW CECHOWNIA						t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
26	JULIUSZ CHMIELARSKI	TRANSFORMATOR	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
27	BŁAŻEJ OBOZA ?	SAKWA AGH						t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
28	BARTOSZ SZYMIK	CW TRANSFORMATOR						t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
29	DAMIAN WĘGRZYNIAK	CLIMB TEAM GOGOLIN	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
30	ŁUKASZ ROKITA	FFK	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
31	MATEUSZ BODZIŃSKI	KW CZĘSTOCHOWA	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
32	PRZEMYSŁAW MARCZYŃSKI		t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
33	PATRYK DUDEK	KW CZĘSTOCHOWA/PION	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
34	WOJCIECH KUJAWSKI	AKG ŁÓDŹ/KW GLIWICE					t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
35	MARCIN KOKOT		t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
36	ASIA MĘDRZAK							t	t	t	t	t	t	b	b	b	b						Trudna	K	6	10
37	ŁUKASZ ŚCIGAŁA	L4						t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
38	DAMIAN GRUDZIEŃ	SALEWA BLOCK	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
39	MAREK LEGASZEWSKI	KW GLIWICE/KS KANDAHAR						t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
40	GRZEGORZ WIECHEĆ	BOULDER COM.PL						t	t	t	t	t	b	t	b	b	b						Trudna	M	6	10
41	KUBA W							t	t	t	t	t	t	b	b	b	b						Trudna	M	6	10
42	DARIA BRYLOVA	KS KORONA						t	t	t	t	t	t	b		b	b						Trudna	K	6	9
43	MICHAŁ DOBRZAŃSKI	KS KORONA	t	t	t	t	t	t	t	t	t	t	t	b		b	b						Trudna	M	6	9
44	MACIEJ SWĘDZIOŁ		t	t	t	t	t	t	t	t	t	t	t	b	b	b							Trudna	M	6	9
45	KRZYSZTOF ZYSK	EB CLIMBING						t	t	t	t	t	t	b		b	b						Trudna	M	6	9
46	JUDYTA PTASIŃSKA	WITCHHOLDS/BLO KATOWICE						t	t	t	t	t	t	b		b	b						Trudna	K	6	9
47	KUBA BARZYCKI	CW TRANSFORMATOR						t	t	t	t	t	t	b		b	b						Trudna	M	6	9
48	MICHAŁ DOBIES	KW GLIWICE						t	t	t	t	t	t	b		b	b						Trudna	M	6	9
49	KACZY	PROGRES	t	t	t	t	t	t	t	t	t	t	t	b	b								Trudna	M	6	8
50	AREK ERM	X TEAM ORZESZE	t	t	t	t	t	t	t	t	t	t	t	b		b							Trudna	M	6	8
51	FILIP KAŁAT	CW PRIMAROCA	t	t	t	t	t	t	t	t	t	t	t	b		b							Trudna	M	6	8
52	IREK HORDYCZKO	IRAS	t	t	t	t	t	t	t	t	t	t	t	b									Lajt	M	11	10
53	PIOTR MIERZEJEWSKI	FFK	t	t	t	t	t	t	t	t	t	t	t	b									Trudna	M	6	7
54	KRZYSZTOF LUKOSZEK	SALEWA BLOCK	t	t	t	t	t	t	t	t	t	t	t	b									Trudna	M	6	7
